URL,Sitemap,Robots,Meta Title,Meta Title Count,Meta Description,Meta Description Count,Meta Keywords,Meta Keywords Count,Meta Robots,H1,H2,H3,H4,H5,H6,Open Graph,Canonical,Favicon,Google Search Console Connected,Jumlah Kata,Performance,Accessibility,Best Practices,SEO,Structure
https://alfagift.id,1.0,1.0,Tidak ditemukan,1.0,Tidak ditemukan,1.0,Tidak ditemukan,1.0,Tidak ditemukan,0.0,0.0,0.0,0.0,0.0,0.0,"{'og:title': 'Alfagift, Toko Alfamart Online. Belanja Groceries Hemat Gratis Ongkir.', 'og:description': 'jual berbagai produk grocery kebutuhan harian harga promo dan terjangkau. rasakan belanja online gratis ongkir tanpa batas di alfagift.id', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,1.0,9.0,81.0,89.0,75.0,76.0
https://berrybenka.com,1.0,1.0,Toko Fashion Wanita dan Pria Online. | Berrybenka.com,7.0,"Berrybenka adalah salah satu fashion brand Indonesia yang terdepan dalam menyediakan berbagai tren pakaian, tas, sepatu, dan aksesoris terkini dengan harga yang terjangkau. Jika kamu mencari beragam pilihan untuk semua kegiatanmu, seperti hari-hari santai, kerja, hangout, atau pesta – Berrybenka adalah pilihan setiap wanita.",8.0,"indonesia, jual, pakaian,  wanita, pria, fashion, butik, dress, pakaian",9.0,Tidak ditemukan,15.0,1.0,0.0,0.0,0.0,0.0,"{'og:title': 'Tidak ditemukan', 'og:description': 'Tidak ditemukan', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,196.0,42.0,61.0,56.99999999999999,83.0,55.0
https://blibli.com,,,,,,,,,,,,,,,,,,,,,26.0,92.0,93.0,92.0,88.0
https://bojonegoro.bojonegorokab.go.id/,1.0,0.0,Kecamatan Bojonegoro Kabupaten Bojonegoro,3.0,Tidak ditemukan,1.0,Tidak ditemukan,1.0,Tidak ditemukan,0.0,0.0,0.0,0.0,0.0,0.0,"{'og:title': 'Tidak ditemukan', 'og:description': 'Tidak ditemukan', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,473.0,,,,,
https://bojonegoro.bojonegorokab.go.id/ ,,,,,,,,,,,,,,,,,,,,,,,,,60.0
https://bukalapak.com,1.0,1.0,Situs Belanja Online dan Jual Beli Mudah Terpercaya | Bukalapak,9.0,"Situs Jual Beli Online Terpercaya di Indonesia. Belanja Online Murah, Aman dan Nyaman dari Jutaan Toko Online Pelapak Bukalapak Garansi Uang Kembali",2.0,Tidak ditemukan,1.0,Tidak ditemukan,1.0,4.0,15.0,0.0,0.0,0.0,"{'og:title': 'Belanja Murah & Lengkap yang Bikin Asik!', 'og:description': 'Beli sampai bayar dapet gratis ongkir/cashback, game hadiah jutaan, dan Serbu Seru pake recehan. Makhluk sejagat raya aja pake aplikasi Bukalapak!', 'og:image': 'https://s1.bukalapak.com/images/img_bnr/Open-Graph_2020-Rebranding.jpg', 'og:url': 'https://www.bukalapak.com/'}",1.0,1.0,1.0,1179.0,42.0,91.0,75.0,92.0,88.0
https://laku6.com,1.0,1.0,Laku6,0.0,,1.0,,1.0,Tidak ditemukan,1.0,2.0,2.0,13.0,0.0,0.0,"{'og:title': 'Tidak ditemukan', 'og:description': 'Tidak ditemukan', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,404.0,62.0,73.0,100.0,83.0,94.0
https://main.semarangkab.go.id/,1.0,1.0,KABUPATEN SEMARANG – BERDIKARI,3.0,Tidak ditemukan,1.0,Tidak ditemukan,1.0,max-image-preview:large,2.0,0.0,36.0,5.0,0.0,0.0,"{'og:title': 'Tidak ditemukan', 'og:description': 'Tidak ditemukan', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,899.0,49.0,80.0,75.0,85.0,57.0
https://mothercare.co.id,,,,,,,,,,,,,,,,,,,,,25.0,83.0,71.0,92.0,75.0
https://myhartono.com,1.0,1.0,Toko Elektronik Online | Promo AC TV Kulkas | Beli Elektronik | Free Ongkir,13.0,"Toko Elektronik Online pertama di Indonesia yang menyediakan pembayaran Cicilan 0%. Bebas Ongkir dan Cicilan 0% Komputer, LED Televisi, Kulkas, Mesin Cuci, Camera, AC, Audio Elektronik, Peralatan Dapur, Home Appliances, Kitchen Equipment, Small Home Appliances.",11.0,,1.0,Tidak ditemukan,1.0,6.0,27.0,0.0,0.0,0.0,"{'og:title': 'Tidak ditemukan', 'og:description': 'Tidak ditemukan', 'og:image': 'Tidak ditemukan', 'og:url': 'Tidak ditemukan'}",1.0,1.0,1.0,4840.0,24.0,85.0,89.0,92.0,71.0
